Id,Name
a086g0000060ZzqAAE,Rental Car - Compact class
a086g0000060ZzrAAE,Rental Car - Standard class
a086g0000060ZzsAAE,Rental Car - Full Size class
a086g0000060ZztAAE,Rental Car - Minivan class
a086g0000060ZzuAAE,Rental Car - SUV class
a086g0000060ZzlAAE,Air Travel Factors
a086g0000060ZzmAAE,Scope 3 Ground Travel - EMEA
a086g0000060ZznAAE,Scope 3 Ground Travel - APAC
a086g0000060ZzoAAE,Scope 3 Ground Travel - AMER
a086g0000060ZyaAAE,Scope 3 Travel Factors_CANADA
a086g0000060ZybAAE,Scope 3 Travel Factors_CARIBBEAN REGION
a086g0000060ZycAAE,Scope 3 Travel Factors_CHINA (HONG KONG)
a086g0000060ZydAAE,Scope 3 Travel Factors_CHINA
a086g0000060ZyeAAE,Scope 3 Travel Factors_FRANCE
a086g0000060ZyfAAE,Scope 3 Travel Factors_GERMANY SOUTHERN REGION
a086g0000060ZygAAE,Scope 3 Travel Factors_GERMANY
a086g0000060ZyhAAE,Scope 3 Travel Factors_INDIA
a086g0000060ZyiAAE,Scope 3 Travel Factors_INDONESIA
a086g0000060ZyjAAE,Scope 3 Travel Factors_INTERNATIONAL
a086g0000060ZykAAE,Scope 3 Travel Factors_JAPAN
a086g0000060ZylAAE,Scope 3 Travel Factors_MALAYSIA
a086g0000060ZymAAE,Scope 3 Travel Factors_MEXICO
a086g0000060ZynAAE,Scope 3 Travel Factors_RUSSIAN FEDERATION
a086g0000060ZyoAAE,Scope 3 Travel Factors_SAUDI ARABIA
a086g0000060ZypAAE,Scope 3 Travel Factors_SINGAPORE
a086g0000060ZyqAAE,Scope 3 Travel Factors_SOUTH KOREA
a086g0000060ZyrAAE,Scope 3 Travel Factors_SPAIN
a086g0000060ZysAAE,Scope 3 Travel Factors_SWITZERLAND
a086g0000060ZytAAE,Scope 3 Travel Factors_THAILAND
a086g0000060ZyuAAE,Scope 3 Travel Factors_TURKEY
a086g0000060ZyvAAE,Scope 3 Travel Factors_UK LONDON
a086g0000060ZywAAE,Scope 3 Travel Factors_UK OTHER
a086g0000060ZyxAAE,Scope 3 Travel Factors_VIETNAM
a086g0000060ZyyAAE,Scope 3 Travel Factors_UNITED STATES
a086g0000060ZyzAAE,Argentina
a086g0000060Zz0AAE,Australia
a086g0000060Zz1AAE,Austria
a086g0000060Zz2AAE,Belgium
a086g0000060Zz3AAE,Brazil
a086g0000060Zz4AAE,Canada
a086g0000060Zz5AAE,Caribbean Region
a086g0000060Zz6AAE,Chile
a086g0000060Zz7AAE,China
a086g0000060Zz8AAE,Hong Kong
a086g0000060Zz9AAE,Colombia
a086g0000060ZzAAAU,Costa Rica
a086g0000060ZzBAAU,Czech Republic
a086g0000060ZzCAAU,Egypt
a086g0000060ZzDAAU,France
a086g0000060ZzEAAU,Germany
a086g0000060ZzFAAU,Greece
a086g0000060ZzGAAU,India
a086g0000060ZzHAAU,Indonesia & Sumatra
a086g0000060ZzIAAU,Ireland
a086g0000060ZzJAAU,Israel
a086g0000060ZzKAAU,Italy
a086g0000060ZzLAAU,Japan
a086g0000060ZzMAAU,Jordan
a086g0000060ZzNAAU,Malaysia
a086g0000060ZzOAAU,Mexico
a086g0000060ZzPAAU,Netherlands
a086g0000060ZzQAAU,New Zealand
a086g0000060ZzRAAU,Panama
a086g0000060ZzSAAU,Philippines
a086g0000060ZzTAAU,Poland
a086g0000060ZzUAAU,Portugal
a086g0000060ZzVAAU,Qatar
a086g0000060ZzWAAU,Russian Federation
a086g0000060ZzXAAU,Saudi Arabia
a086g0000060ZzYAAU,Singapore
a086g0000060ZzZAAU,South Africa
a086g0000060ZzaAAE,South Korea
a086g0000060ZzbAAE,Spain
a086g0000060ZzcAAE,Switzerland
a086g0000060ZzdAAE,Taiwan
a086g0000060ZzeAAE,Thailand
a086g0000060ZzfAAE,Turkey
a086g0000060ZzgAAE,United Arab Emirates
a086g0000060ZzhAAE,United Kingdom
a086g0000060ZziAAE,United States
a086g0000060ZzjAAE,Vietnam
a086g0000060ZzkAAE,Global Average
a086g0000060ZyYAAU,Scope 3 Travel Factors_AUSTRALIA
a086g0000060ZyZAAU,Scope 3 Travel Factors_AUSTRIA
a086g0000014ZbBAAU,Scope 3 Travel Factors
